name,booth,homepage,categories,overview,partner_url
Agorize Bloomflow,hall1 Booth L06,https://get.agorize.com/,"Artificial Intelligence, Consulting & B2B services, Data Management & CRM, Growth & Investment","Agorize and Bloomflow are shaping the future of how enterprise organizations innovate and grow. 300+ companies trust Agorize and Bloomflow, including L'Oréal, HSBC, Capgemini, Unilever, Generali, Pepsico, and Microsoft. 🔹 Agorize is the leading solution to launch innovation programs at scale. Through open innovation challenges, hackathons, and intrapreneurship initiatives, Agorize helps organizations engage with startups, students, and employees to source and develop bold new ideas—globally and efficiently. 🔹 Bloomflow is the leading software to drive innovation-led growth. With a focus on strategy execution, Bloomflow enables innovation teams to align priorities, manage global portfolios, and accelerate the rollout of impactful initiatives.

Together, they offer a comprehensive approach to innovation—from sourcing ideas to scaling outcomes—empowering organizations to stay ahead.",https://vivatechnology.com/partners/agorize-bloomflow
AI-Stroke,hall1 Booth H22-002,https://www.ai-stroke.com,"Artificial Intelligence, Healthcare & Wellness, Deep Tech & Quantum Computing","AI-Stroke develops advanced AI for pre-hospital stroke screening, enabling faster, more accurate diagnosis in ambulances and emergency settings.",https://vivatechnology.com/partners/ai-stroke
AI4IV Srl,hall1 Booth C15-001,https://www.ai4iv.com/,"Mobility & Smart Cities, Robotics, Space, Aeronautics & Defense",,https://vivatechnology.com/partners/ai4iv-srl
Ailytics Limited,hall1 Booth F48-005,https://ailytics.ai/,"Artificial Intelligence, GovTech & Public sector, Industry & Supply Chain","Ailytics empowers heavy industries to enhance safety, productivity, and operational efficiency by transforming any existing camera infrastructure into an intelligent AI-driven system to delivers real-time actionable insights for better decision making.",https://vivatechnology.com/partners/ailytics-limited
AINDO,hall1 Booth C15-003,https://www.aindo.com/,"Artificial Intelligence, Healthcare & Wellness, Insurance & Legal","Aindo generates hyper-realistic, EuroPrivacy®-certified synthetic data using generative AI. It enables fast and secure data sharing, collaboration, and monetization.",https://vivatechnology.com/partners/aindo
AIRA Corporation,hall1 Booth D38-003,https://www.aira.com.tw/,"Artificial Intelligence, Data Management & CRM, Retail & E-commerce",,https://vivatechnology.com/partners/aira-corporation
akawan,hall1 Booth H22-001,https://akawan.com,"Artificial Intelligence, Consulting & B2B services, Cloud & Infrastructure","akawan ,occitan expertise driving your digital transformation.
For 20 years, we’ve been creating innovative, human-centered, and business-focused solutions to support companies in their digital transformation and AI integration.",https://vivatechnology.com/partners/akawan
AKILA,hall1 Booth D17-007,https://www.akila3d.com,"Artificial Intelligence, Energy, Mobility & Smart Cities","Akila is a cloud-based digital twin platform that uses AI and real-time data to transform building operations. Designed for rapid deployment and portfolio-wide scalability, Akila enables smarter, more sustainable building management.",https://vivatechnology.com/partners/akila
alangu GmbH,hall1 Booth D11-009,https://alangu.de,"Diversity & Inclusion, Growth & Investment, GovTech & Public sector","Our vision is to revolutionize the accessibility of communication and to create a world where everyone can engage, regardless of hearing ability. We envision a future where our sign language avatar solution is an integral part of global communication!",https://vivatechnology.com/partners/alangu-gmbh
ALATYR,hall1 Booth B17-001,https://www.alatyr.space,"Artificial Intelligence, Space, Aeronautics & Defense, Robotics","ALATYR is developing next generation robotic and autonomous platforms in Low Earth Orbit, dedicated to R&D in microgravity. 
We are leveraging this unique environment for Earth applications, through state-of-the-art robotic technologies and embedded AI.",https://vivatechnology.com/partners/alatyr
Alhomna Systems,hall1 Booth A08-032,,"Energy, Climate Tech, Food & Agriculture","Alhomna Systems develops SolarDry, a solar-powered technology turning sludge and effluents into distilled water, bio-fertilizer, and energy. A local, circular, and low-carbon solution for the ecological transition.",https://vivatechnology.com/partners/alhomna-systems
Alliantech,hall1 Booth J39-007,https://www.alliantech.com/,"Artificial Intelligence, Space, Aeronautics & Defense, Robotics",,https://vivatechnology.com/partners/alliantech
ALLTHEWAY,hall1 Booth D17-009,https://alltheway.io/,"Mobility & Smart Cities, Artificial Intelligence, Industry & Supply Chain","Alltheway, a French startup, uses tech to revolutionize baggage logistics by enabling check-in and pickup outside airports. Its system connects with airlines via APIs, making travel smoother, safer, and more sustainable.",https://vivatechnology.com/partners/alltheway
AlphaPen,hall1 Booth E59-001,https://alphapen.fr/,"Artificial Intelligence, Deep Tech & Quantum Computing, Retail & E-commerce","Avec AlphaPen, conservez le plaisir d'écrire à la main sans renoncer aux avantages du numérique. 📄 ✍️

Gardez le contact avec le papier, l'authenticité de votre écriture unique et profitez d'une concentration maximale, sans distractions numériques.",https://vivatechnology.com/partners/alphapen
ALPINOV X,hall1 Booth J39-001,https://alpinovx.com/,"Energy, Industry & Supply Chain, Growth & Investment",,https://vivatechnology.com/partners/alpinov-x
ALTAROAD,hall1 Booth J33-010,https://www.altaroad.com/,"Artificial Intelligence, Consulting & B2B services, Climate Tech","Altaroad offers intelligent traceability solutions for building materials and waste, helping industry players to track, optimize and secure their flows, while meeting regulatory and environmental challenges.",https://vivatechnology.com/partners/altaroad
Altyor,hall1 Booth D37-003,,"Robotics, Mobility & Smart Cities, Industry & Supply Chain",,https://vivatechnology.com/partners/altyor
AMSO CARE,hall1 Booth L30-003,https://amsocare.squarespace.com,Mobility & Smart Cities,,https://vivatechnology.com/partners/amso-care
ANDYAMO,hall1 Booth D17-011,https://www.andyamo.fr,"Mobility & Smart Cities, GovTech & Public sector, Diversity & Inclusion","Andyamo helps cities and transport operators improve daily trips for people with reduced mobility (seniors, families with stroller, disabled people), by providing a fully adapted pedestrian and multimodal (public transport and parking) route planner.",https://vivatechnology.com/partners/andyamo
Anemon Sensors,hall1 Booth A08-006,https://anemon-sensors.com/,"Deep Tech & Quantum Computing, Healthcare & Wellness, Industry & Supply Chain",Anemon Sensors propose des systèmes capteurs multi-espèces autonomes et portables. Notre produit phare est un capteur spécifiquement dédié à la mesure basse concentration de l’ammoniac en air ambiant (<100 ppb).,https://vivatechnology.com/partners/anemon-sensors
ANIMIA,hall1 Booth D37-002,https://www.animia.app,"Artificial Intelligence, Healthcare & Wellness, Growth & Investment",,https://vivatechnology.com/partners/animia
Anivance AI,hall1 Booth D38-006,https://www.anivance.io/,"Healthcare & Wellness, Artificial Intelligence","Anivance AI accelerates drug development with organ-on-chip and AI platforms, enabling safer, faster, animal-free R&D. Backed by 25 patents and clinical ties, we deliver predictive human models aligned with FDA’s NAMs 2025.",https://vivatechnology.com/partners/anivance-ai
Apnolab,hall1 Booth D37-022,https://apnolab.com,"Artificial Intelligence, Healthcare & Wellness",,https://vivatechnology.com/partners/apnolab
Appload,hall1 Booth M30-002,https://www.apploadafrica.com,"Industry & Supply Chain, Fintech, Banking & Crypto","Appload is a digital freight marketplace that connects clients needing to ship cargo with relevant transporters. Within a single online platform, clients can book from a network of 500+ vetted transporters, pay, monitor and rate their shipment.",https://vivatechnology.com/partners/appload
APREX,hall1 Booth D17-006,https://aprex-solutions.com,"Robotics, Artificial Intelligence, Industry & Supply Chain","Development and integration of vision applications and systems for optimising Quality and process controls, combining cutting-edge image analysis technologies and the latest generation of AI: for industry and innovation centers.",https://vivatechnology.com/partners/aprex
artisJet,hall1 Booth E54-006,https://www.artisjet.com,"Luxury, Fashion & Cosmetics, Retail & E-commerce, Marketing & Advertising",artisJet,https://vivatechnology.com/partners/artisjet
Arxy Future Lab s.a.r.l,hall1 Booth C49-004,https://www.arxy.io,"Luxury, Fashion & Cosmetics, Growth & Investment, Consulting & B2B services","Arxy is a virtual showroom wholesale platform that blends cutting-edge tech with creative storytelling to help brands showcase products, connect with buyers, and elevate their global presence. It also allows to create customzied standalone experieces.",https://vivatechnology.com/partners/arxy-future-lab-sarl
Arxy Virtual Showroom,hall1 Booth D09-001,https://www.arxy.io,"Luxury, Fashion & Cosmetics, Growth & Investment, Consulting & B2B services","Arxy is a virtual showroom wholesale platform that blends cutting-edge tech with creative storytelling to help brands showcase products, connect with buyers, and elevate their global presence. It also allows to create customzied standalone experieces.",https://vivatechnology.com/partners/arxy-virtual-showroom
"Ashirase, Inc.",hall1 Booth D26-003,https://www.ashirase.com/,"Diversity & Inclusion, Healthcare & Wellness, Mobility & Smart Cities",,https://vivatechnology.com/partners/ashirase-inc
ASTERFOX - SOMMELIER IA,hall1 Booth B30-003,https://www.asterfox.com/,"Artificial Intelligence, Food & Agriculture, Retail & E-commerce","AsterFox is an innovative digital platform for wine enthusiasts, offering users the ability to revolutionize the way of choosing and buying wine and receive personalized recommendations from our AI Sommellier.",https://vivatechnology.com/partners/asterfox-sommelier-ia
Asteria,hall1 Booth G28-002,,"Artificial Intelligence, Industry & Supply Chain, Climate Tech","Asteria accelerates sustainable innovation with 500,000+ biological strategies. Powered by AI and science, it turns nature’s intelligence into actionable solutions—guiding you from problem to innovation, every step of the way.",https://vivatechnology.com/partners/asteria
AudioDeem,hall1 Booth D37-004,https://www.audiodeem.com,"Artificial Intelligence, Healthcare & Wellness",,https://vivatechnology.com/partners/audiodeem
Augur,hall1 Booth L24-001,https://augurco.fr,"Energy, Industry & Supply Chain, Space, Aeronautics & Defense",,https://vivatechnology.com/partners/augur
AutoKeybo Limited,hall1 Booth F48-008,https://get.autokeybo.com/,"Artificial Intelligence, Diversity & Inclusion, Robotics",AutoKeybo is the world’s 1st Automatic Interface Computer.  It is a new computer form-factor alternative to laptops & desktops. AutoKeybo runs Windows 11 and includes an AI-powered Interface that eliminates hand transfer and prevents wrist RSI.,https://vivatechnology.com/partners/autokeybo-limited
Autone,hall1 Booth D33-003,https://autone.io/,"Industry & Supply Chain, Luxury, Fashion & Cosmetics, Retail & E-commerce","autone is at the forefront of the retail revolution, offering an AI-powered inventory optimization platform that synthesises real-time data analytics with predictive technology to fine-tune inventory accuracy and efficiency.",https://vivatechnology.com/partners/autone
Avatar Mobilité,hall1 Booth B18-017,,"Mobility & Smart Cities, Growth & Investment, Industry & Supply Chain","Avatar Mobilité designs Ulive, a lightweight, solar-assisted electric vehicle for daily commuting. Locally built and eco-designed, Ulive combines simplicity, practicality and innovation to meet the mobility challenges of tomorrow.",https://vivatechnology.com/partners/avatar-mobilite
AVOMO VR,hall1 Booth D37-032,https://www.avomovr.fr,"Entertainment, Media & Creators Economy, Retail & E-commerce, Marketing & Advertising",,https://vivatechnology.com/partners/avomo-vr
Awarek,hall1 Booth D38-007,https://awarek.my.canva.site/dagp-rcpxvk,"Robotics, Cloud & Infrastructure, Connectivity, Cloud & Infrastructure","Awarek's system provides ultra-early thermal AI fire detection by sensing abnormal heat before smoke/flames in high-risk areas (data centers, EV stations, switchboards). It effectively prevents fires and protects assets",https://vivatechnology.com/partners/awarek
Axelife,hall1 Booth B08-002,https://www.axelife.com/,"Growth & Investment, Artificial Intelligence, Healthcare & Wellness","Axelife est une Medtech française spécialisée dans l’évaluation et la prévention des risques cardiovasculaires.
Notre dispositif médical de classe IIa, le pOpmètre®, permet l'évaluation des risques cardiovasculaires de façon non invasive grâce à la mesure",https://vivatechnology.com/partners/axelife
Aynid,hall1 Booth L29-020,https://aynid.io,"Fintech, Banking & Crypto, Marketing & Advertising, Retail & E-commerce","Aynid, an innovative Ivorian startup, is revolutionizing access to information and e-commerce through an intelligent search engine. A true digital marketplace, it offers simple, fast, and effective solutions to meet all your needs.",https://vivatechnology.com/partners/aynid
Be My Eyes,hall1 Booth G12-022,https://www.bemyeyes.com/business/,Diversity & Inclusion,Be My Eyes is an accessibility platform that helps blind and low-vision users interact with the world through video and AI. Companies use Be My Eyes to provide dedicated visual support via live video or AI-powered tools.,https://vivatechnology.com/partners/be-my-eyes
Be Parentalis,hall1 Booth J25-004,https://www.beparentalis.fr,"Artificial Intelligence, Growth & Investment, Healthcare & Wellness","BeParentalis addresses the urgent need for reliability, medical triage, and parental reassurance in an overwhelmed system, by offering simple, personalized, and validated health information at the right time for children.",https://vivatechnology.com/partners/be-parentalis
BEAMY,hall1 Booth D17-012,https://www.beamy.io,"Cloud & Infrastructure, Artificial Intelligence, Connectivity, Cloud & Infrastructure",,https://vivatechnology.com/partners/beamy
Beaucoup Data,hall1 Booth K40-015,https://www.beaucoupdata.co,"Artificial Intelligence, Retail & E-commerce, Cloud & Infrastructure","Beaucoup Data is a company specializing in artificial intelligence (AI), machine learning, and data analysis, based in Montreal. Since 2020, our mission has been to make advanced technologies accessible to all businesses.",https://vivatechnology.com/partners/beaucoup-data
Beaute INEE,hall1 Booth D37-034,https://www.beauteinee.fr/,"Artificial Intelligence, Retail & E-commerce, Luxury, Fashion & Cosmetics",,https://vivatechnology.com/partners/beaute-inee
BEAUTYBYME,hall1 Booth J47-004,https://www.tiktok.com/@mycosmetik,"Luxury, Fashion & Cosmetics, Industry & Supply Chain, Retail & E-commerce",,https://vivatechnology.com/partners/beautybyme
Bee4win,hall1 Booth E59-017,https://bee4win.io/en/,"Artificial Intelligence, Consulting & B2B services, Data Management & CRM","Whether you're issuing or responding to RFPs, our AI platform reduces tedious work, improves content quality, and optimizes the bidding process — from market intelligence to smart content suggestions and requirements management — to drive project success.",https://vivatechnology.com/partners/bee4win
Beev,hall1 Booth D40-003,https://www.beev.co/,"Mobility & Smart Cities, Consulting & B2B services, Energy",,https://vivatechnology.com/partners/beev
Beink Dream,hall1 Booth J50-001,https://www.beink.fr/,"Artificial Intelligence, Deep Tech & Quantum Computing",,https://vivatechnology.com/partners/beink-dream
Bevel,hall1 Booth D11-011,https://www.bevel.software/,"Consulting & B2B services, Fintech, Banking & Crypto, Artificial Intelligence",,https://vivatechnology.com/partners/bevel
Bewelab SA,hall1 Booth B38-017,https://bewe.com/,"Gaming & Esports, Marketing & Advertising, Growth & Investment","Using immersive mobile games, Bewe recalibrates the brain's reward system through neuroscience-based cognitive training. This approach reduces cravings and unhealthy consumption by disrupting automatic reward responses.",https://vivatechnology.com/partners/bewelab-sa
BIOM research project,hall1 Booth A08-039,https://www.biomproject.com,"Climate Tech, Food & Agriculture, Robotics",,https://vivatechnology.com/partners/biom-research-project
BIOTEOS,hall1 Booth D17-013,,"Climate Tech, Healthcare & Wellness, Mobility & Smart Cities","Bioteos develops sustainable air purification systems powered by microalgae.

Our patented technology captures pollutants like VOCs and fine particles to improve indoor air quality in offices, urban environments or industries without waste.",https://vivatechnology.com/partners/bioteos-2
BIOVOX,hall1 Booth D11-012,https://www.biovox.systems,"Climate Tech, Healthcare & Wellness","BIOVOX pioneers medical-grade bioplastics, offering innovative, safe, and cost-efficient solutions for Medtech, Pharma and Lab manufacturers. This supports a circular and future proof healthcare systems.",https://vivatechnology.com/partners/biovox
BIRDIA (Ex BPartners IA),hall1 Booth G50-029,https://www.birdia.fr/home,"Growth & Investment, Climate Tech, GovTech & Public sector","BIRDIA revolutionizes rooftop diagnostics with AI-powered analysis on ultra-high-resolution aerial imagery. Our precise assessments help insurers, roofers, and public authorities optimize audits, maintenance, and resilience. Experience it live here!",https://vivatechnology.com/partners/birdia-ex-bpartners-ia
BIRDIA (Ex BPartners IA),hall1 Booth A08-008,https://www.bpartners.app/home,"Climate Tech, Insurance & Legal, GovTech & Public sector","BIRDIA revolutionizes rooftop diagnostics with AI-powered analysis on ultra-high-resolution aerial imagery. Our precise assessments help insurers, roofers, and public authorities optimize audits, maintenance, and resilience. Experience it live here!",https://vivatechnology.com/partners/birdia-ex-bpartners-ia-2
Blackleaf,hall1 Booth B21-001,https://www.blackleaf.fr/,"Energy, Climate Tech, Space, Aeronautics & Defense",Blackleaf is a manufacturer of graphene-based conductive inks and advanced additives.,https://vivatechnology.com/partners/blackleaf
BlocToBuild,hall1 Booth D41-004,https://bloctobuild.com/,"Mobility & Smart Cities, Industry & Supply Chain, Climate Tech","Every building is designed as a prototype, making industrialization impossible.
BlocToBuild fixes this by ending the need to design from scratch.
We provide architects a digital catalog of parametric blocks embedding off-site and  low carbon materials.",https://vivatechnology.com/partners/bloctobuild
BLOK TECHNOLOGY,hall1 Booth L29-010,https://blok.africa,"Industry & Supply Chain, Retail & E-commerce, Consulting & B2B services","BLOK is a digital platform specializing in construction materials and equipment, designed to connect suppliers with construction professionals across Africa.",https://vivatechnology.com/partners/blok-technology
Blue Smart Robotics,hall1 Booth A08-009,https://bluesmart-robotics.odoo.com/,"Artificial Intelligence, Robotics",,https://vivatechnology.com/partners/blue-smart-robotics
Blumana,hall1 Booth D41-003,https://www.blumana.app,"Artificial Intelligence, Marketing & Advertising, Retail & E-commerce","Blumana deploys the first team of AI agents to guarantee the continuous improvement of your customer experience, consolidate your customer reviews, optimize your brand experience, and monitor the impact of your actions.",https://vivatechnology.com/partners/blumana
BNBXTECH,hall2 Booth S26-006,https://www.bnbxtech.com,"Retail & E-commerce, Consulting & B2B services, Industry & Supply Chain","BNBxTECH designs advanced tech & AI solutions for B2B. 

From electronics to GenAI, we build end-to-end, scalable systems for mobility, defense, industry & more. 

Tailored to secure, optimize, and automate your operations.",https://vivatechnology.com/partners/bnbxtech
BOARDING RING,hall1 Booth B30-005,https://www.boardinglight.com,"Mobility & Smart Cities, Space, Aeronautics & Defense, Healthcare & Wellness","Boarding Ring fights motion sickness with science-backed innovation !
Discover Boarding Light, a dynamic lighting system to upgrade the passenger experience in any kind of transport.
Join us at Vivatech and dive into the future of mobility !",https://vivatechnology.com/partners/boarding-ring
Borda Technology,hall1 Booth E40-016,https://www.bordatech.com/,"Healthcare & Wellness, Artificial Intelligence, Connectivity, Cloud & Infrastructure",,https://vivatechnology.com/partners/borda-technology
BOTRONICS,hall1 Booth C27-019,https://botronics.be/,"Artificial Intelligence, Robotics",,https://vivatechnology.com/partners/botronics
BOUYGUES,hall1 Booth E40,https://www.bouygues.com/,"Artificial Intelligence, Diversity & Inclusion, Energy, Climate Tech, Mobility & Smart Cities","Bouygues is a diversified services group present in more than 80 countries and employs around 200,000 people who work to make life better every day. Its activities meet essential and constantly changing needs: construction (Bouygues Construction, Bouygues Immobilier, Colas), energies and services (Equans), media (TF1) and telecoms (Bouygues Telecom).",https://vivatechnology.com/partners/bouygues
Braillic Limited,hall1 Booth F48-002,https://www.braillic.com,"Artificial Intelligence, Healthcare & Wellness","Braillic revolutionizes surgery with our AR-guided surgical navigation system, enabling real-time 3D visualization of internal anatomy. Powered by Deep Learning, it enhances precision, overcomes visibility challenges, and empowers surgeons.",https://vivatechnology.com/partners/braillic-limited
Brikawood,hall1 Booth E59-002,https://www.tiktok.com/@brikawood,"Climate Tech, Energy, Mobility & Smart Cities","Brikawood is an innovative French wooden construction system that is both eco-friendly and sustainable. As easy to assemble as Lego bricks, it enables the creation of durable structures that preserve the natural ground.",https://vivatechnology.com/partners/brikawood
Burnwe,hall1 Booth H45-008,https://burnwe.com,"Artificial Intelligence, Fintech, Banking & Crypto, Data Management & CRM","Tech’s Favorite Video Marketing Agency.
Burnwe helps tech products stand out with custom-crafted marketing videos that educate, engage, and convert.",https://vivatechnology.com/partners/burnwe
BUTTON-HOP,hall1 Booth D17-014,https://button-hop.com,Industry & Supply Chain,"Button Hop digitizes industrial tracking with connected buttons and a smart andon system.  Save time, get instant alerts, integrate easily, and boost frontline performance with a plug-and-play solution for greater efficiency.",https://vivatechnology.com/partners/button-hop
Buyutech,hall1 Booth C10-002,https://www.buyutech.com.tr,"Artificial Intelligence, Growth & Investment, Mobility & Smart Cities",,https://vivatechnology.com/partners/buyutech
BWS INTERNATIONAL,hall1 Booth B21-003,https://bewireless-solutions.com,"Artificial Intelligence, Connectivity, Cloud & Infrastructure, Climate Tech","Be Wireless Solutions International helps you optimize your water, electricity, fuel, and gas consumption, reducing costs and minimizing your environmental impact.",https://vivatechnology.com/partners/bws-international
BYE BLUES,hall1 Booth B21-002,https://www.tiktok.com/@byeblueslight,"Healthcare & Wellness, Retail & E-commerce, Industry & Supply Chain","ByeBlues has developed Pure Red® Lighting Technology, tailored to the body's specific needs during evenings and nighttime.
The Byeblues lantern is especially well-suited for nocturnal awakenings and evening use.",https://vivatechnology.com/partners/bye-blues
BYOME LABS,hall1 Booth D39-018,,"Artificial Intelligence, Industry & Supply Chain, Healthcare & Wellness","Byome Labs is a deeptech healthtech startup specializing in the microbiome. With Byome Derma, we launch the first instant point-of-sale test to recommend personalized, microbiome-friendly skincare in just 3 minutes.",https://vivatechnology.com/partners/byome-labs
bYoRNA,hall1 Booth B18-018,,"Deep Tech & Quantum Computing, Healthcare & Wellness, Industry & Supply Chain","bYoRNA is dedicated to producing high-quality, low-cost messenger RNA (mRNA) for therapeutic applications. We are developing a cutting-edge biotech production platform that leverages yeast and a novel technology designed to stabilize mRNA within cells.",https://vivatechnology.com/partners/byorna
Callendar,hall1 Booth D40-005,https://www.callendar.tech,"Energy, Industry & Supply Chain, Climate Tech",Callendar is a startup specialized in accelerating adaptation to climate change. We developpe tools to democratize access to climate foresight to help organizations and individuals make the right decisions wherever current or future climate matters.,https://vivatechnology.com/partners/callendar
Cambrium,hall1 Booth G28-004,https://www.cambrium.bio/,"Artificial Intelligence, Healthcare & Wellness, Luxury, Fashion & Cosmetics","Cambrium is the next generation chemical manufacturer.

Our molecules are designed to be more than drop-in replacements - they outperform, enabling the next generation of materials.",https://vivatechnology.com/partners/cambrium
Capoom,hall1 Booth C10-018,https://www.capoom.com,"Artificial Intelligence, Mobility & Smart Cities, Robotics","Capoom leverages AI-driven automated 3D modeling to generate on demand, ultra-realistic, lightweight 3D synthetic data and digital twins; empowering autonomous systems, robotics, digital-twin applications, architecture, and the metaverse.",https://vivatechnology.com/partners/capoom
CAPSUL EVENTS,hall1 Booth E50-005,https://immersion.capsul.events,"Marketing & Advertising, Luxury, Fashion & Cosmetics, Gaming & Esports","Immersive marketing for retail & events! Capsul Events boosts engagement & conversions with custom visuals. Visit stand E50-005 for VivaTech deals: -10% summer, -15% winter projects!",https://vivatechnology.com/partners/capsul-events
Captain Blink,hall1 Booth E59-023,https://www.captainblink.com,"Industry & Supply Chain, Mobility & Smart Cities, Retail & E-commerce","Captain Blink développe des brassards lumineux connectés pour sécuriser les cyclistes et usagers de mobilités douces. Notre solution Made in France combine visibilité 360°, clignotants et détection de freinage pour révolutionner la sécurité urbaine.",https://vivatechnology.com/partners/captain-blink
Carborok,hall1 Booth E40-004,,Climate Tech,"Carborok offers innovative 'concrete' solutions for CO2 mineralization, championing a circular economy and carbon direct removal.",https://vivatechnology.com/partners/carborok
Carto AI,hall1 Booth G50-003,https://cartoai.fr,"Artificial Intelligence, Energy, Climate Tech","We capture thermal images of buildings at city scale using our mobile mapping solution (like Google Street View), then use AI to identify building insulation defects to reduce energy consumption and carbon footprint.",https://vivatechnology.com/partners/carto-ai
CAVIGEN UG,hall1 Booth D11-072,https://cavigen.eu,Deep Tech & Quantum Computing,"CAVIGEN develops oxygen-sensing microcavity systems for 3D cell cultures. By mimicking in vivo oxygen levels, we enable more reliable drug testing and tissue models - advancing precision medicine and reducing the need for animal experiments.",https://vivatechnology.com/partners/cavigen-ug
CELESTE ECOFLYERS,passerelle Booth O02-005,https://www.celeste.aero,"Mobility & Smart Cities, Space, Aeronautics & Defense, Industry & Supply Chain","Celeste develops the dAS10, a 100% electric ultra-light inflatable drone that delivers up to 50kg over 700km. Inflated with air, 9× lighter, foldable, and runway-free, it brings low-energy logistics to rural and remote areas with no infrastructure.",https://vivatechnology.com/partners/celeste-ecoflyers
Cellex srl,hall1 Booth C15-005,https://www.cellex.it,"Healthcare & Wellness, Industry & Supply Chain, Marketing & Advertising","Cellex is an Italian SME developing next-gen bioreactors for biotech, tissue engineering, and cultivated meat. Its patented systems improve efficiency by up to 200%, enabling scalable, reproducible, and low-stress cell culture across diverse applications.",https://vivatechnology.com/partners/cellex-srl
cellumation GmbH,hall1 Booth D11-016,https://cellumation.com/,"Artificial Intelligence, Growth & Investment, Industry & Supply Chain","cellumation develops intelligent modular conveyor systems. Its core innovation, the celluveyor, uses omnidirectional cells to move goods flexibly and efficiently. The system saves space, adapts in real time, and revolutionizes modern intralogistics.",https://vivatechnology.com/partners/cellumation-gmbh
Cezigue.io,hall1 Booth H22-004,https://cezigue.io/,"Artificial Intelligence, Mobility & Smart Cities",prompt to build platform dedicated to the mobility vertical,https://vivatechnology.com/partners/cezigueio
CIRCLECHAIN,hall1 Booth J33-011,https://www.circlechain.green,Climate Tech,"Circlechain platform creates and manages Circular Digital Passports (CDP) for traceability, supply chain management, matchmaking and data exchange for the Circular Economy.",https://vivatechnology.com/partners/circlechain
